Date,Description,Debit,Credit,Balance,Reference
2025-01-01,SALARY PAYMENT,0.00,5000.00,15000.00,REF001
2025-01-02,ATM WITHDRAWAL,500.00,0.00,14500.00,REF002
2025-01-03,ONLINE TRANSFER,200.00,0.00,14300.00,REF003
2025-01-04,GROCERY SHOPPING,150.00,0.00,14150.00,REF004
2025-01-05,BILL PAYMENT,300.00,0.00,13850.00,REF005
2025-01-06,REFUND,0.00,100.00,13950.00,REF006
2025-01-07,PURCHASE,250.00,0.00,13700.00,REF007
2025-01-08,SALARY BONUS,0.00,2000.00,15700.00,REF008
2025-01-09,UTILITY BILL,180.00,0.00,15520.00,REF009
2025-01-10,RESTAURANT,120.00,0.00,15400.00,REF010
