Date,Transaction Description,Deposit,Withdrawal,Balance
Date /,Tarikh,:,05-08-2025
06-07-2025,CIB Instant Transfer at DIO,"10,990.00"
06-07-2025,CIB Instant Transfer at DIO,"3,000.00"
06-07-2025,CIB Instant Transfer at DIO,"5,500.00"
06-07-2025,Credit Card Payment at DIO,"4,000.00"
06-07-2025,CIB Instant Transfer at DIO,"4,600.00"
06-07-2025,CIB Instant Transfer at DIO,"3,000.00"
06-07-2025,CIB Instant Transfer at DIO,"2,300.00"
06-07-2025,CDM Deposit,"10,000.00"
06-07-2025,CDM Deposit,"9,750.00"
06-07-2025,CDM Deposit,"9,900.00"
06-07-2025,CDM Deposit,100.00
06-07-2025,Instant Transfer at KLM,"14,000.00","10,561.02"
07-07-2025,CIB Instant Transfer at DIO,"4,500.00"
07-07-2025,Credit Card Payment at DIO,"6,000.00",61.02
Date /,Tarikh,:,05-08-2025
 09-07-2025,Fund Transfer at DIO,"4,400.00"
09-07-2025,Fund Transfer at DIO,"4,707.85"
09-07-2025,Fund Transfer at DIO,"2,088.32"
09-07-2025,CIB Instant Transfer at DIO,"3,664.40"
09-07-2025,CIB Instant Transfer at DIO,"3,600.00"
09-07-2025,Fund Transfer at DIO,"6,161.63"
09-07-2025,CIB Instant Transfer at DIO,"25,300.00"
09-07-2025,Instant Transfer at KLM,"50,000.00",138.82
10-07-2025,Instant Transfer at KLM,"25,000.00","25,138.82"
11-07-2025,Credit Card Payment at DIO,"20,000.00"
11-07-2025,CIB Instant Transfer at DIO,"5,000.00"
11-07-2025,Instant Transfer at KLM,"27,300.00","27,438.82"
Date /,Tarikh,:,05-08-2025
 12-07-2025,CIB Instant Transfer at DIO,"27,300.00",138.82
15-07-2025,CIB Instant Transfer at DIO,"2,500.00"
15-07-2025,CIB Instant Transfer at DIO,"2,500.00"
15-07-2025,CIB Instant Transfer at DIO,"5,222.41"
15-07-2025,CIB Instant Transfer at DIO,"8,237.99"
15-07-2025,CIB Instant Transfer at DIO,"12,214.12"
15-07-2025,Instant Transfer at KLM,"30,600.00",64.30
18-07-2025,CIB Instant Transfer at DIO,"2,000.00"
18-07-2025,CIB Instant Transfer at DIO,"1,787.00"
18-07-2025,CIB Instant Transfer at DIO,"5,000.00"
18-07-2025,CIB Instant Transfer at DIO,"8,318.70"
Date /,Tarikh,:,05-08-2025
 18-07-2025,Instant Transfer at KLM,"40,000.00","22,958.60"
20-07-2025,CIB Instant Transfer at DIO,"16,406.18","6,552.42"
22-07-2025,CIB Instant Transfer at DIO,750.83
22-07-2025,CIB Instant Transfer at DIO,"1,434.32"
22-07-2025,CIB Instant Transfer at DIO,"40,163.23"
22-07-2025,Instant Transfer at KLM,"37,400.00","1,604.04"
23-07-2025,Instant Transfer at KLM,"37,000.00","38,604.04"
24-07-2025,CIB Instant Transfer at DIO,"8,500.00"
24-07-2025,CIB Instant Transfer at DIO,"20,000.00","10,104.04"
27-07-2025,CIB Instant Transfer at DIO,"3,495.84"
27-07-2025,CIB Instant Transfer at DIO,"3,000.00"
Date /,Tarikh,:,05-08-2025
 27-07-2025,CIB Instant Transfer at DIO,"3,000.00",608.20
 Total Withdrawals /,Jumlah Pengeluaran,:,37,"290,642.82",Date /,Tarikh,:,05-08-2025
