Company / 公司,Loan Type / 贷款类型,Product Name / 产品名称,Required Documents / 所需文件,Features / 产品特点,Benefits / 优势福利,Fees & Charges / 费用收费,Tenure / 期限,Interest Rate / 利率,Application Form URL / 申请表链接,Product Disclosure URL / 产品披露链接,Terms & Conditions URL / 条款条件链接,Preferred Customer / 目标客户,Source URL / 来源链接
Affin Bank Berhad,FIXED_DEPOSIT,Commodity Murabahah​​​​​​​Deposit-i,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/commodity-murabahah-deposit-i
Affin Bank Berhad,FIXED_DEPOSIT,Fixed Deposit,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/fixed-deposit
Affin Bank Berhad,FIXED_DEPOSIT,Foreign Fixed Deposit Account,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/foreign-fixed-deposit-account
Affin Bank Berhad,FIXED_DEPOSIT,"Protected by PIDM up to RM250,000 for each depositor",请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/fixed-deposit
Affin Bank Berhad,OTHER,Term Loan,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/term-loan
Affin Bank Berhad,OVERDRAFT,Overdraft,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/overdraft
Affin Bank Berhad,SME_LOAN,Asiamoney Best Bank Awards (2023)​​​​​​​Winner: Best Bank for SMEs in Malaysia,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/sme
Affin Bank Berhad,SME_LOAN,"Global SME Finance Awards 2021 (organised by International Finance Corporation, a member of the World Bank Group)​​​​​​​Honorable Mention: Product Innovation of the Year",请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/sme
Affin Bank Berhad,SME_LOAN,Recognition of our commitment to support SMEs in Malaysia,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/sme
Affin Bank Berhad,SME_LOAN,"The Malaysia Book of RecordsFirst SME Community Development Mobile App ""SMEColony""",请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,请联系银行,,,,所有客户,https://www.affinalways.com/sme
Alliance Bank Malaysia Berhad,CREDIT_CARD,1) What is Alliance Bank’s Virtual Credit Card (VCC)?,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,9.88%,,,,所有客户,https://www.alliancebank.com.my/personal/Cards/Credit-Cards/visa-platinum-virtual-credit-card
