company,loan_type,product_name,rate,required_doc,features,benefits,fees_charges,tenure,application_form_url,product_disclosure_url,terms_conditions_url,preferred_customer_type,source_url
Affin Bank Berhad,FIXED_DEPOSIT,Fixed Deposit,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.affinalways.com/fixed-deposit
Affin Bank Berhad,FIXED_DEPOSIT,"Protected by PIDM up to RM250,000 for each depositor",请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.affinalways.com/fixed-deposit
Affin Bank Berhad,OVERDRAFT,Overdraft,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.affinalways.com/overdraft
Affin Bank Berhad,SME_LOAN,Asiamoney Best Bank Awards (2023)​​​​​​​Winner: Best Bank for SMEs in Malaysia,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.affinalways.com/sme
Affin Bank Berhad,SME_LOAN,Recognition of our commitment to support SMEs in Malaysia,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.affinalways.com/sme
Affin Bank Berhad,SME_LOAN,"The Malaysia Book of RecordsFirst SME Community Development Mobile App ""SMEColony""",请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.affinalways.com/sme
Alliance Bank Malaysia Berhad,CREDIT_CARD,1. What are the different types of credit cards offered by Alliance Bank Malaysia?,0%,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,10. How do I report a lost or stolen Alliance Bank Malaysia’s Credit Card?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,11. What are Timeless Bonus Points and how do I redeem it on my Alliance Bank Malaysia’s Credit Card?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,2. What are the eligibility criteria for an Alliance Bank Malaysia’s Credit Card application?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,3. How to apply and activate Alliance Bank Malaysia’s Credit Card online?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,4. Can I earn cashback and/or Timeless Bonus Points for reloading eWallet with my Alliance Bank Malaysia’s Credit Card?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,5. How do I increase my credit card limit?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,6. How do I check my Alliance Bank Malaysia’s Credit Card statements?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,7. Is there an annual fee waiver offered by Alliance Bank Malaysia for the credit cards?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,8. What is the minimum payment due for the credit cards?,5%,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,9. Is there a grace period for finance charges free payments on Alliance Bank Malaysia’s Credit Card?,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Choose from a range of cards that enhances your lifestyle.,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
Alliance Bank Malaysia Berhad,CREDIT_CARD,Compare and choose the best credit cards,请联系银行,请访问银行官网,请访问银行官网,请访问银行官网,请联系银行,请联系银行,"","","",所有客户,https://www.alliancebank.com.my/cards
