Company,Loan Type,Product Name,Rate,Features,Benefits,Fees & Charges,Required Documents,Tenure,Application Form URL,Product Disclosure URL,Terms & Conditions URL,Customer Preference,Source URL
Maybank,PERSONAL_LOAN,Personal Loan,From 2.45% p.a. (EIR),"Instant approval, No collateral required, Flexible tenure","Quick cash access, Competitive rates","Processing fee: Waived, Early settlement: 1% on outstanding","IC, 3 months payslips, bank statement",1-10 years,https://www.maybank2u.com.my/,https://www.maybank2u.com.my/iwov-resources/pdf/personal/loans/personal-loan-pds.pdf,https://www.maybank2u.com.my/,Salaried employees,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/loans/personal/personal_loan.page
Maybank,HOME_LOAN,MaxiHome Loan,"SBR + spread, ~4.5% effective","Full flexi with current account, Daily interest calculation, Redraw facility","Save on interest, Flexible withdrawals","Processing: 0.5%, No lock-in period","IC, payslips, property documents, SPA",Up to 35 years or age 70,https://www.maybank2u.com.my/,https://www.maybank2u.com.my/iwov-resources/pdf/personal/loans/home-loan-pds.pdf,https://www.maybank2u.com.my/,First-time buyers & refinancing,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/loans/home/home_loan.page
Maybank,CREDIT_CARD,Maybank 2 Cards,"18% p.a. interest rate, 5% cashback","5x TreatsPoints, Cashback on groceries, petrol, dining","Lifestyle rewards, Travel insurance","Annual fee: RM180-488 (waivable), Late payment: 1%","IC, payslips, bank statement",,https://www.maybank2u.com.my/,https://www.maybank2u.com.my/iwov-resources/pdf/personal/cards/credit-cards-pds.pdf,https://www.maybank2u.com.my/,All customers,https://www.maybank2u.com.my/maybank2u/malaysia/en/personal/cards/credit_cards/index.page
CIMB Bank,PERSONAL_LOAN,CIMB Cash Plus,From 3.88% p.a. flat,"Instant approval, Up to RM200k, No guarantor","Fast disbursement, Flexible repayment","Processing: Free, Early settlement: 1% on outstanding","IC, payslips (3 months), EPF statement",1-7 years,https://www.cimb.com.my/,https://www.cimb.com.my/content/dam/cimb/personal/documents/loan-pds.pdf,https://www.cimb.com.my/,Min income RM2,500/month,https://www.cimb.com.my/en/personal/day-to-day-banking/financing/personal-financing/cimb-cash-plus.html
CIMB Bank,HOME_LOAN,CIMB Home Loan,"SBR + 0.85%, ~3.6% p.a.","Term loan or flexi options, Up to 95% financing (with MRTA)","Low rates, Flexible repayment","Lock-in: 3 years (loans <RM500k), Early settlement: 2-3%","IC, payslips, property docs, valuation report",Up to 35 years or age 70,https://www.cimb.com.my/,https://www.cimb.com.my/content/dam/cimb/personal/documents/home-loan-pds.pdf,https://www.cimb.com.my/,All property buyers,https://www.cimb.com.my/en/personal/day-to-day-banking/financing/home-financing.html
CIMB Bank,CREDIT_CARD,CIMB Platinum Mastercard,"18% p.a., 3% cash advance","10x CIMB Points, Contactless payment, Travel insurance","Rewards accumulation, Lifestyle perks","Annual fee: RM180 (waivable), Cash advance: 3%","IC, payslips",,https://www.cimb.com.my/,https://www.cimb.com.my/content/dam/cimb/personal/documents/cc-pds.pdf,https://www.cimb.com.my/,Min income RM24k/year,https://www.cimb.com.my/en/personal/day-to-day-banking/cards/credit-cards.html
Public Bank,HOME_LOAN,Public Bank Home Loan,"BR 2.40% + spread, ~4.2% effective","Term loan or semi-flexi, Up to 90% margin","Competitive rates, Fast approval","Processing: 0.5%, No early settlement penalty (after lock-in)","IC, payslips (6 months), EA form, bank statement",Up to 35 years or age 70,https://www.publicbank.com.my/,https://www.publicbank.com.my/documents/home-loan-pds.pdf,https://www.publicbank.com.my/,Malaysian citizens & PRs,https://www.publicbank.com.my/en/personal/borrow/home-loan
Public Bank,PERSONAL_LOAN,Public Bank Personal Loan,From 5.5% p.a. flat,"Up to RM150k, No collateral, Fast approval","Quick disbursement","Processing: Waived for online, Stamp duty: 0.5%","IC, payslips (3 months), bank statement",1-10 years,https://www.publicbank.com.my/,https://www.publicbank.com.my/documents/personal-loan-pds.pdf,https://www.publicbank.com.my/,Min income RM2k/month,https://www.publicbank.com.my/en/personal/borrow/personal-loan
Public Bank,CREDIT_CARD,Public Bank Visa/Mastercard,"18% p.a., 5% cash advance","Rewards points, Installment plans, Overseas acceptance","Cashback & rewards","Annual fee: RM150-488, Late payment: 1%","IC, payslips",,https://www.publicbank.com.my/,https://www.publicbank.com.my/documents/credit-card-pds.pdf,https://www.publicbank.com.my/,Min income RM24k/year,https://www.publicbank.com.my/en/personal/cards/credit-cards
RHB Bank,PERSONAL_LOAN,RHB Easy-Pay,From 3.99% p.a. flat,"Up to RM200k, Instant approval, No guarantor","Same-day disbursement","Processing: Free, Stamp duty: 0.5%, Early settlement: 1%","IC, payslips (3 months), EPF statement",1-10 years,https://www.rhbgroup.com/,https://www.rhbgroup.com/files/personal-loan-pds.pdf,https://www.rhbgroup.com/,Min income RM2k/month,https://www.rhbgroup.com/personal/loans/personal-loan.html
RHB Bank,HOME_LOAN,RHB Home Financing-i,"SBR 2.75% + spread, Islamic financing","Shariah-compliant, Up to 95% margin, Flexible tenure","Islamic principles, Competitive rates","Processing: 0.5%, Lock-in: 3-5 years","IC, payslips, property documents, valuation",Up to 35 years or age 70,https://www.rhbgroup.com/,https://www.rhbgroup.com/files/home-financing-pds.pdf,https://www.rhbgroup.com/,Muslim & non-Muslim customers,https://www.rhbgroup.com/personal/financing/home-financing.html
RHB Bank,CREDIT_CARD,RHB Visa Infinite,"18% p.a., unlimited cashback","Unlimited cashback on all spending, Airport lounge access, Travel insurance","Premium rewards, Concierge service","Annual fee: RM800, Late payment: 1%","IC, payslips, income proof (RM150k/year)",,https://www.rhbgroup.com/,https://www.rhbgroup.com/files/credit-card-pds.pdf,https://www.rhbgroup.com/,High-income earners,https://www.rhbgroup.com/personal/cards/credit-cards.html
Hong Leong Bank,PERSONAL_LOAN,HLB Personal Loan,From 4.5% p.a. flat,"Up to RM150k, No collateral, Fast processing","Flexible tenure, Competitive rates","Processing: Waived, Stamp duty: 0.5%","IC, payslips (3 months), bank statement",1-10 years,https://www.hlb.com.my/,https://www.hlb.com.my/content/dam/hlb/my/docs/pdf/personal-loan-pds.pdf,https://www.hlb.com.my/,Salaried & self-employed,https://www.hlb.com.my/en/personal-banking/loans-financing/personal-loan.html
Hong Leong Bank,HOME_LOAN,HLB Home Loan,"BR 3.33% + spread","Term or flexi options, Up to 90% margin","Low base rate, Flexible features","Processing: 0.5%, Early settlement: 3% (within 5 years)","IC, payslips, property documents",Up to 35 years or age 70,https://www.hlb.com.my/,https://www.hlb.com.my/content/dam/hlb/my/docs/pdf/home-loan-pds.pdf,https://www.hlb.com.my/,Property buyers,https://www.hlb.com.my/en/personal-banking/loans-financing/home-loan.html
Hong Leong Bank,CREDIT_CARD,HLB Wise Card,"18% p.a., 10% cashback","10% cashback (capped), Contactless payment","High cashback rate","Annual fee: RM180 (first year free), Late payment: 1%","IC, payslips",,https://www.hlb.com.my/,https://www.hlb.com.my/content/dam/hlb/my/docs/pdf/cc-pds.pdf,https://www.hlb.com.my/,Min income RM24k/year,https://www.hlb.com.my/en/personal-banking/cards/credit-cards/wise-card.html
AmBank,PERSONAL_LOAN,AmBank Personal Loan,From 4.99% p.a. flat,"Up to RM200k, Quick approval, No guarantor","Fast disbursement, Flexible repayment","Processing: Free, Stamp duty: 0.5%","IC, payslips (3 months), bank statement",1-10 years,https://www.ambank.com.my/,https://www.ambank.com.my/eng/documents/personal-loan-pds.pdf,https://www.ambank.com.my/,Min income RM2.5k/month,https://www.ambank.com.my/eng/personal/loans/personal-loan
AmBank,HOME_LOAN,AmBank Home Loan,"SBR + spread, ~4.3% effective","Term or flexi options, Up to 95% financing","Competitive rates","Processing: 0.5%, Lock-in: 3 years (loans <RM500k)","IC, payslips, property documents",Up to 35 years or age 70,https://www.ambank.com.my/,https://www.ambank.com.my/eng/documents/home-loan-pds.pdf,https://www.ambank.com.my/,Property buyers,https://www.ambank.com.my/eng/personal/property/home-loan
AmBank,CREDIT_CARD,AmBank Platinum Visa,"18% p.a., 5% cashback","5% cashback on petrol & groceries, Rewards points","Lifestyle benefits","Annual fee: RM180 (waivable), Late payment: 1%","IC, payslips",,https://www.ambank.com.my/,https://www.ambank.com.my/eng/documents/cc-pds.pdf,https://www.ambank.com.my/,Min income RM30k/year,https://www.ambank.com.my/eng/personal/cards/credit-cards
Bank Islam,PERSONAL_FINANCING,Personal Financing-i Package,From 4.38% p.a. profit rate,"Shariah-compliant, Up to RM250k, No guarantor","Islamic financing, Competitive rates","Processing: Free, Stamp duty: 0.5%, Wakalah fee: RM10","IC, payslips (3 months), EPF statement",2-10 years,https://www.bankislam.com.my/,https://www.bankislam.com.my/wp-content/uploads/PDS-Personal-Financing.pdf,https://www.bankislam.com.my/,Muslims & non-Muslims,https://www.bankislam.com.my/personal-banking/financing/personal-financing/personal-financing-i-package/
Bank Islam,HOME_FINANCING,Home Financing-i,"Profit rate based on BFR + spread","Shariah-compliant, Up to 95% margin, Flexible tenure","Islamic financing principles","Processing: Waived (promo), Lock-in: 3 years","IC, payslips, property documents, valuation",Up to 35 years or age 70,https://www.bankislam.com.my/,https://www.bankislam.com.my/wp-content/uploads/PDS-Home-Financing.pdf,https://www.bankislam.com.my/,Property buyers,https://www.bankislam.com.my/personal-banking/financing/property-financing/home-financing-i/
Bank Islam,CREDIT_CARD,Bank Islam Visa Gold Card-i,"Profit-based, Islamic card","Shariah-compliant rewards, Takaful coverage","Islamic credit solution","Annual fee: RM150 (waivable), Late payment: Ta'widh 1%","IC, payslips",,https://www.bankislam.com.my/,https://www.bankislam.com.my/wp-content/uploads/PDS-Credit-Card.pdf,https://www.bankislam.com.my/,Min income RM24k/year,https://www.bankislam.com.my/personal-banking/cards/credit-card-i/
Bank Muamalat,PERSONAL_FINANCING,Personal Financing-i,From 4.99% p.a. profit rate,"Shariah-compliant Tawarruq, Up to RM400k","Flexible financing, Islamic principles","Processing: Free, Wakalah fee: RM10, Stamp duty: 0.5%","IC, payslips (3 months), bank statement",1-15 years,https://www.muamalat.com.my/,https://www.muamalat.com.my/documents/personal-financing-pds.pdf,https://www.muamalat.com.my/,All customers,https://www.muamalat.com.my/financing/personal/personal-financing/personal-financing-i/
Bank Muamalat,HOME_FINANCING,Home Financing-i,"BFR + spread, Shariah-compliant","Islamic financing, Up to 95% margin","Competitive profit rates","Processing: Waived (promo), MRTT: Optional","IC, payslips, property docs, valuation",Up to 35 years or age 70,https://www.muamalat.com.my/,https://www.muamalat.com.my/documents/home-financing-pds.pdf,https://www.muamalat.com.my/,Property buyers,https://www.muamalat.com.my/financing/property/home-financing/home-financing-i/
Bank Rakyat,PERSONAL_FINANCING,Personal Financing-i Tawarruq,From 3.99% p.a. profit rate,"Shariah-compliant, Up to RM300k, Fast approval","Member benefits, Low rates","Processing: Free, Stamp duty: 0.5%","IC, payslips (3 months), membership proof",1-15 years,https://www.bankrakyat.com.my/,https://www.bankrakyat.com.my/documents/pf-pds.pdf,https://www.bankrakyat.com.my/,Members & non-members,https://www.bankrakyat.com.my/personal/financing/personal-financing-i-tawarruq
Bank Rakyat,HOME_FINANCING,Home Financing-i,"BFR + spread","Shariah-compliant, Up to 95% margin, Member privileges","Competitive rates, Islamic financing","Processing: 0.5%, MRTT: Optional","IC, payslips, property documents",Up to 35 years or age 70,https://www.bankrakyat.com.my/,https://www.bankrakyat.com.my/documents/hf-pds.pdf,https://www.bankrakyat.com.my/,Property buyers,https://www.bankrakyat.com.my/personal/financing/home-financing-i
BSN,PERSONAL_LOAN,BSN Personal Loan-i,From 4.5% p.a. profit rate,"Shariah-compliant, Up to RM150k","Government support, Accessible financing","Processing: Free, Stamp duty: 0.5%","IC, payslips (3 months)‬",1-10 years,https://www.mybsn.com.my/,https://www.mybsn.com.my/documents/pl-pds.pdf,https://www.mybsn.com.my/,Civil servants & public,https://www.mybsn.com.my/personal/financing/personal-loan-i
